Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      1.10     0.00  9213180     0.00     0.00  std::_Vector_base<float, std::allocator<float> >::_M_get_Tp_allocator()
  0.00      1.10     0.00  9175040     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<float>, float>::_S_propagate_on_copy_assign()
  0.00      1.10     0.00  9175040     0.00     0.00  float* std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<float>(float const*, float const*, float*)
  0.00      1.10     0.00  8604711     0.00     0.00  float const& std::forward<float const&>(std::remove_reference<float const&>::type&)
  0.00      1.10     0.00  4588416     0.00     0.00  bool __gnu_cxx::operator!=<fl_particle**, std::vector<fl_particle*, std::allocator<fl_particle*> > >(__gnu_cxx::__normal_iterator<fl_particle**, std::vector<fl_particle*, std::allocator<fl_particle*> > > const&, __gnu_cxx::__normal_iterator<fl_particle**, std::vector<fl_particle*, std::allocator<fl_particle*> > > const&)
  0.00      1.10     0.00  4587520     0.00     0.00  __gnu_cxx::__normal_iterator<fl_particle**, std::vector<fl_particle*, std::allocator<fl_particle*> > >::operator*() const
  0.00      1.10     0.00  4305460     0.00     0.00  unsigned int&& std::forward<unsigned int>(std::remove_reference<unsigned int>::type&)
  0.00      1.10     0.00  3238052     0.00     0.00  float&& std::forward<float>(std::remove_reference<float>::type&)
  0.00      1.10     0.00  1431607     0.00     0.00  std::remove_reference<unsigned int&>::type&& std::move<unsigned int&>(unsigned int&)
  0.00      1.10     0.00  1431600     0.00     0.00  void std::allocator_traits<std::allocator<unsigned int> >::construct<unsigned int, unsigned int>(std::allocator<unsigned int>&, unsigned int*, unsigned int&&)
  0.00      1.10     0.00  1431600     0.00     0.00  void std::vector<unsigned int, std::allocator<unsigned int> >::emplace_back<unsigned int>(unsigned int&&)
  0.00      1.10     0.00  1431600     0.00     0.00  std::vector<unsigned int, std::allocator<unsigned int> >::push_back(unsigned int&&)
  0.00      1.10     0.00  1136161     0.00     0.00  std::vector<FLTexturedObject*, std::allocator<FLTexturedObject*> >::operator[](unsigned long)
  0.00      1.10     0.00  1077284     0.00     0.00  void __gnu_cxx::new_allocator<float>::construct<float, float>(float*, float&&)
  0.00      1.10     0.00  1077284     0.00     0.00  void std::allocator_traits<std::allocator<float> >::construct<float, float>(std::allocator<float>&, float*, float&&)
  0.00      1.10     0.00  1077284     0.00     0.00  std::vector<float, std::allocator<float> >::push_back(float&&)
  0.00      1.10     0.00  1077284     0.00     0.00  std::remove_reference<float&>::type&& std::move<float&>(float&)
  0.00      1.10     0.00   270741     0.00     0.00  FLGameObject::x()
  0.00      1.10     0.00   270338     0.00     0.00  FLGameObject::y()
  0.00      1.10     0.00   202308     0.00     0.00  FLGameObject::w()
  0.00      1.10     0.00   200505     0.00     0.00  FLGameObject::h()
  0.00      1.10     0.00   113043     0.00     0.00  std::less<FLKey>::operator()(FLKey const&, FLKey const&) const
  0.00      1.10     0.00   108152     0.00     0.00  float* std::__niter_base<float*>(float*)
  0.00      1.10     0.00    86153     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<FLKey const, FLKeyState> >::_M_ptr() const
  0.00      1.10     0.00    86153     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<FLKey const, FLKeyState> >::_M_addr() const
  0.00      1.10     0.00    86153     0.00     0.00  std::_Select1st<std::pair<FLKey const, FLKeyState> >::operator()(std::pair<FLKey const, FLKeyState> const&) const
  0.00      1.10     0.00    86153     0.00     0.00  std::_Rb_tree_node<std::pair<FLKey const, FLKeyState> >::_M_valptr() const
  0.00      1.10     0.00    86153     0.00     0.00  std::_Rb_tree<FLKey, std::pair<FLKey const, FLKeyState>, std::_Select1st<std::pair<FLKey const, FLKeyState> >, std::less<FLKey>, std::allocator<std::pair<FLKey const, FLKeyState> > >::_S_key(std::_Rb_tree_node<std::pair<FLKey const, FLKeyState> > const*)
  0.00      1.10     0.00    80780     0.00     0.00  glm::vec<4, float, (glm::qualifier)0>::vec(float, float, float, float)
  0.00      1.10     0.00    69604     0.00     0.00  std::vector<FLTexturedObject*, std::allocator<FLTexturedObject*> >::size() const
  0.00      1.10     0.00    68860     0.00     0.00  std::vector<FLAnimatedObject*, std::allocator<FLAnimatedObject*> >::size() const
  0.00      1.10     0.00    67932     0.00     0.00  std::vector<FLAnimatedObject*, std::allocator<FLAnimatedObject*> >::operator[](unsigned long)
  0.00      1.10     0.00    66835     0.00     0.00  FLTexturedObject::reversed()
  0.00      1.10     0.00    65816     0.00     0.00  __gnu_cxx::__normal_iterator<FLAnimatedObject**, std::vector<FLAnimatedObject*, std::allocator<FLAnimatedObject*> > >::operator*() const
  0.00      1.10     0.00    65797     0.00     0.00  __gnu_cxx::__normal_iterator<FLAnimatedObject**, std::vector<FLAnimatedObject*, std::allocator<FLAnimatedObject*> > >::operator++()
  0.00      1.10     0.00    65778     0.00     0.00  bool __gnu_cxx::__ops::_Iter_pred<Renderer::remove_null_objects()::{lambda(FLAnimatedObject*)#1}>::operator()<__gnu_cxx::__normal_iterator<FLAnimatedObject**, std::vector<FLAnimatedObject*, std::allocator<FLAnimatedObject*> > > >(__gnu_cxx::__normal_iterator<FLAnimatedObject**, std::vector<FLAnimatedObject*, std::allocator<FLAnimatedObject*> > >)
  0.00      1.10     0.00    65778     0.00     0.00  Renderer::remove_null_objects()::{lambda(FLAnimatedObject*)#1}::operator()(FLAnimatedObject*) const
  0.00      1.10     0.00    65750     0.00     0.00  FLAnimatedObject::s()
  0.00      1.10     0.00    65750     0.00     0.00  FLAnimatedObject::t()
  0.00      1.10     0.00    63851     0.00     0.00  unsigned int* std::__niter_base<unsigned int*>(unsigned int*)
  0.00      1.10     0.00    62720     0.00     0.00  FLToggleTile::update_animation()
  0.00      1.10     0.00    57144     0.00     0.00  unsigned long const& std::min<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      1.10     0.00    54971     0.00     0.00  __gnu_cxx::new_allocator<float>::max_size() const
  0.00      1.10     0.00    53852     0.00     0.00  std::_Rb_tree_iterator<std::pair<FLKey const, FLKeyState> >::_Rb_tree_iterator(std::_Rb_tree_node_base*)
  0.00      1.10     0.00    53841     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<FLKey const, FLKeyState> >::_M_ptr()
  0.00      1.10     0.00    53841     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<FLKey const, FLKeyState> >::_M_addr()
  0.00      1.10     0.00    53841     0.00     0.00  std::_Rb_tree_node<std::pair<FLKey const, FLKeyState> >::_M_valptr()
  0.00      1.10     0.00    53823     0.00     0.00  std::_Rb_tree_iterator<std::pair<FLKey const, FLKeyState> >::operator*() const
  0.00      1.10     0.00    48428     0.00     0.00  std::_Rb_tree<FLKey, std::pair<FLKey const, FLKeyState>, std::_Select1st<std::pair<FLKey const, FLKeyState> >, std::less<FLKey>, std::allocator<std::pair<FLKey const, FLKeyState> > >::_S_left(std::_Rb_tree_node_base*)
  0.00      1.10     0.00    45790     0.00     0.00  std::less<std::pair<FLKey, FLKeyState> >::operator()(std::pair<FLKey, FLKeyState> const&, std::pair<FLKey, FLKeyState> const&) const
  0.00      1.10     0.00    45790     0.00     0.00  bool std::operator< <FLKey, FLKeyState>(std::pair<FLKey, FLKeyState> const&, std::pair<FLKey, FLKeyState> const&)
  0.00      1.10     0.00    45776     0.00     0.00  glm::vec<4, float, (glm::qualifier)0>::vec(float)
  0.00      1.10     0.00    45776     0.00     0.00  glm::vec<4, float, (glm::qualifier)0>& glm::vec<4, float, (glm::qualifier)0>::operator*=<float>(float)
  0.00      1.10     0.00    45776     0.00     0.00  glm::detail::compute_vec4_mul<float, (glm::qualifier)0, false>::call(glm::vec<4, float, (glm::qualifier)0> const&, glm::vec<4, float, (glm::qualifier)0> const&)
  0.00      1.10     0.00    45776     0.00     0.00  glm::vec<4, float, (glm::qualifier)0> glm::operator*<float, (glm::qualifier)0>(glm::vec<4, float, (glm::qualifier)0> const&, float const&)
  0.00      1.10     0.00    44890     0.00     0.00  glm::vec<4, float, (glm::qualifier)0>::length()
  0.00      1.10     0.00    43396     0.00     0.00  std::vector<unsigned int, std::allocator<unsigned int> >::size() const
  0.00      1.10     0.00    43088     0.00     0.00  glm::vec<4, float, (glm::qualifier)0>::operator[](int) const
  0.00      1.10     0.00    42500     0.00     0.00  __gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int> > >::base() const
  0.00      1.10     0.00    41291     0.00     0.00  glm::mat<4, 4, float, (glm::qualifier)0>::length()
  0.00      1.10     0.00    37766     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<std::pair<FLKey, FLKeyState> const, std::vector<std::function<void ()>, std::allocator<std::function<void ()> > > > >::_M_ptr() const
  0.00      1.10     0.00    37766     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<std::pair<FLKey, FLKeyState> const, std::vector<std::function<void ()>, std::allocator<std::function<void ()> > > > >::_M_addr() const
  0.00      1.10     0.00    37766     0.00     0.00  std::_Select1st<std::pair<std::pair<FLKey, FLKeyState> const, std::vector<std::function<void ()>, std::allocator<std::function<void ()> > > > >::operator()(std::pair<std::pair<FLKey, FLKeyState> const, std::vector<std::function<void ()>, std::allocator<std::function<void ()> > > > const&) const
  0.00      1.10     0.00    37766     0.00     0.00  std::_Rb_tree_node<std::pair<std::pair<FLKey, FLKeyState> const, std::vector<std::function<void ()>, std::allocator<std::function<void ()> > > > >::_M_valptr() const
  0.00      1.10     0.00    37766     0.00     0.00  std::_Rb_tree<std::pair<FLKey, FLKeyState>, std::pair<std::pair<FLKey, FLKeyState> const, std::vector<std::function<void ()>, std::allocator<std::function<void ()> > > >, std::_Select1st<std::pair<std::pair<FLKey, FLKeyState> const, std::vector<std::function<void ()>, std::allocator<std::function<void ()> > > > >, std::less<std::pair<FLKey, FLKeyState> >, std::allocator<std::pair<std::pair<FLKey, FLKeyState> const, std::vector<std::function<void ()>, std::allocator<std::function<void ()> > > > > >::_S_key(std::_Rb_tree_node<std::pair<std::pair<FLKey, FLKeyState> const, std::vector<std::function<void ()>, std::allocator<std::function<void ()> > > > > const*)
  0.00      1.10     0.00    37710     0.00     0.00  std::_Rb_tree<FLKey, std::pair<FLKey const, FLKeyState>, std::_Select1st<std::pair<FLKey const, FLKeyState> >, std::less<FLKey>, std::allocator<std::pair<FLKey const, FLKeyState> > >::_S_right(std::_Rb_tree_node_base*)
  0.00      1.10     0.00    35454     0.00     0.00  std::_Vector_base<float, std::allocator<float> >::_M_get_Tp_allocator() const
  0.00      1.10     0.00    35454     0.00     0.00  std::vector<float, std::allocator<float> >::max_size() const
  0.00      1.10     0.00    35454     0.00     0.00  std::allocator_traits<std::allocator<float> >::max_size(std::allocator<float> const&)
  0.00      1.10     0.00    35454     0.00     0.00  std::vector<float, std::allocator<float> >::_S_max_size(std::allocator<float> const&)
  0.00      1.10     0.00    35454     0.00     0.00  std::vector<float, std::allocator<float> >::_S_relocate(float*, float*, float*, std::allocator<float>&)
