Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      1.10     0.00        2     0.00     0.00  std::_Rb_tree<std::pair<FLKey, FLKeyState>, std::pair<std::pair<FLKey, FLKeyState> const, std::vector<std::function<void ()>, std::allocator<std::function<void ()> > > >, std::_Select1st<std::pair<std::pair<FLKey, FLKeyState> const, std::vector<std::function<void ()>, std::allocator<std::function<void ()> > > > >, std::less<std::pair<FLKey, FLKeyState> >, std::allocator<std::pair<std::pair<FLKey, FLKeyState> const, std::vector<std::function<void ()>, std::allocator<std::function<void ()> > > > > >::_Rb_tree_impl<std::less<std::pair<FLKey, FLKeyState> >, true>::~_Rb_tree_impl()
  0.00      1.10     0.00        2     0.00     0.00  std::_Rb_tree<std::pair<FLKey, FLKeyState>, std::pair<std::pair<FLKey, FLKeyState> const, std::vector<std::function<void ()>, std::allocator<std::function<void ()> > > >, std::_Select1st<std::pair<std::pair<FLKey, FLKeyState> const, std::vector<std::function<void ()>, std::allocator<std::function<void ()> > > > >, std::less<std::pair<FLKey, FLKeyState> >, std::allocator<std::pair<std::pair<FLKey, FLKeyState> const, std::vector<std::function<void ()>, std::allocator<std::function<void ()> > > > > >::_M_get_insert_unique_pos(std::pair<FLKey, FLKeyState> const&)
  0.00      1.10     0.00        2     0.00     0.00  std::_Rb_tree<std::pair<FLKey, FLKeyState>, std::pair<std::pair<FLKey, FLKeyState> const, std::vector<std::function<void ()>, std::allocator<std::function<void ()> > > >, std::_Select1st<std::pair<std::pair<FLKey, FLKeyState> const, std::vector<std::function<void ()>, std::allocator<std::function<void ()> > > > >, std::less<std::pair<FLKey, FLKeyState> >, std::allocator<std::pair<std::pair<FLKey, FLKeyState> const, std::vector<std::function<void ()>, std::allocator<std::function<void ()> > > > > >::begin()
  0.00      1.10     0.00        2     0.00     0.00  std::_Rb_tree<std::pair<FLKey, FLKeyState>, std::pair<std::pair<FLKey, FLKeyState> const, std::vector<std::function<void ()>, std::allocator<std::function<void ()> > > >, std::_Select1st<std::pair<std::pair<FLKey, FLKeyState> const, std::vector<std::function<void ()>, std::allocator<std::function<void ()> > > > >, std::less<std::pair<FLKey, FLKeyState> >, std::allocator<std::pair<std::pair<FLKey, FLKeyState> const, std::vector<std::function<void ()>, std::allocator<std::function<void ()> > > > > >::_M_erase(std::_Rb_tree_node<std::pair<std::pair<FLKey, FLKeyState> const, std::vector<std::function<void ()>, std::allocator<std::function<void ()> > > > >*)
  0.00      1.10     0.00        2     0.00     0.00  std::_Rb_tree<std::pair<FLKey, FLKeyState>, std::pair<std::pair<FLKey, FLKeyState> const, std::vector<std::function<void ()>, std::allocator<std::function<void ()> > > >, std::_Select1st<std::pair<std::pair<FLKey, FLKeyState> const, std::vector<std::function<void ()>, std::allocator<std::function<void ()> > > > >, std::less<std::pair<FLKey, FLKeyState> >, std::allocator<std::pair<std::pair<FLKey, FLKeyState> const, std::vector<std::function<void ()>, std::allocator<std::function<void ()> > > > > >::_Rb_tree()
  0.00      1.10     0.00        2     0.00     0.00  std::_Rb_tree<std::pair<FLKey, FLKeyState>, std::pair<std::pair<FLKey, FLKeyState> const, std::vector<std::function<void ()>, std::allocator<std::function<void ()> > > >, std::_Select1st<std::pair<std::pair<FLKey, FLKeyState> const, std::vector<std::function<void ()>, std::allocator<std::function<void ()> > > > >, std::less<std::pair<FLKey, FLKeyState> >, std::allocator<std::pair<std::pair<FLKey, FLKeyState> const, std::vector<std::function<void ()>, std::allocator<std::function<void ()> > > > > >::~_Rb_tree()
  0.00      1.10     0.00        2     0.00     0.00  std::__detail::_Hash_code_base<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, texture*>, std::__detail::_Select1st, std::hash<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, true>::_M_extract()
  0.00      1.10     0.00        2     0.00     0.00  std::__detail::_Hashtable_alloc<std::allocator<std::__detail::_Hash_node<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, texture*>, true> > >::_M_allocate_buckets(unsigned long)
  0.00      1.10     0.00        2     0.00     0.00  std::__detail::_Hashtable_alloc<std::allocator<std::__detail::_Hash_node<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, texture*>, true> > >::_M_deallocate_buckets(std::__detail::_Hash_node_base**, unsigned long)
  0.00      1.10     0.00        2     0.00     0.00  std::__detail::_Prime_rehash_policy::_Prime_rehash_policy(float)
  0.00      1.10     0.00        2     0.00     0.00  std::iterator_traits<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, float*> const*>::iterator_category std::__iterator_category<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, float*> const*>(std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, float*> const* const&)
  0.00      1.10     0.00        2     0.00     0.00  std::_Rb_tree_node<std::pair<std::pair<FLKey, FLKeyState> const, std::vector<std::function<void ()>, std::allocator<std::function<void ()> > > > >*& std::forward<std::_Rb_tree_node<std::pair<std::pair<FLKey, FLKeyState> const, std::vector<std::function<void ()>, std::allocator<std::function<void ()> > > > >*&>(std::remove_reference<std::_Rb_tree_node<std::pair<std::pair<FLKey, FLKeyState> const, std::vector<std::function<void ()>, std::allocator<std::function<void ()> > > > >*&>::type&)
  0.00      1.10     0.00        2     0.00     0.00  std::allocator<std::__detail::_Hash_node<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, float*>, true> >&& std::forward<std::allocator<std::__detail::_Hash_node<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, float*>, true> > >(std::remove_reference<std::allocator<std::__detail::_Hash_node<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, float*>, true> > >::type&)
  0.00      1.10     0.00        2     0.00     0.00  void std::_Destroy<FLWorldObject**>(FLWorldObject**, FLWorldObject**)
  0.00      1.10     0.00        2     0.00     0.00  void std::_Destroy<FLWorldObject**, FLWorldObject*>(FLWorldObject**, FLWorldObject**, std::allocator<FLWorldObject*>&)
  0.00      1.10     0.00        2     0.00     0.00  void std::_Destroy<FLTexturedObject**>(FLTexturedObject**, FLTexturedObject**)
  0.00      1.10     0.00        2     0.00     0.00  void std::_Destroy<FLTexturedObject**, FLTexturedObject*>(FLTexturedObject**, FLTexturedObject**, std::allocator<FLTexturedObject*>&)
  0.00      1.10     0.00        2     0.00     0.00  std::operator|(std::_Ios_Openmode, std::_Ios_Openmode)
  0.00      1.10     0.00        1     0.00     0.00  _GLOBAL__sub_I__Z12log_progressNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEE
  0.00      1.10     0.00        1     0.00     0.00  _GLOBAL__sub_I__Z9main_loopv
  0.00      1.10     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN10FLWarpGateC2Eff
  0.00      1.10     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN11FLUIElementC2Ev
  0.00      1.10     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN11FLUIManagerC2Ev
  0.00      1.10     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN13FLDialogueBoxC2Ev
  0.00      1.10     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN17FLDestroyableTileC2Eff
  0.00      1.10     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN17FLRenderedSurfaceC2Ev
  0.00      1.10     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN18FLWorldEnvironment7tilemapEv
  0.00      1.10     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN19FLDistortionSurfaceC2Ev
  0.00      1.10     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN23FLSmokeBackgroundShaderC2Ev
  0.00      1.10     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN5FLNpcC2Effffff
  0.00      1.10     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN8FLPlayerC2Ev
  0.00      1.10     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN8FLShaderC2Ev
  0.00      1.10     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN8Renderer12init_shadersEv
  0.00      1.10     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN8Renderer6renderEv
  0.00      1.10     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN9FLPhysicsC2Ev
  0.00      1.10     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN9FLTogglerC2Eff
  0.00      1.10     0.00        1     0.00     0.00  _GLOBAL__sub_I_toggle_tiles
  0.00      1.10     0.00        1     0.00     0.00  log_warning(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >)
  0.00      1.10     0.00        1     0.00     0.00  clear_toggle_tiles()
  0.00      1.10     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      1.10     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      1.10     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      1.10     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      1.10     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      1.10     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      1.10     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      1.10     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      1.10     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      1.10     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      1.10     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      1.10     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      1.10     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      1.10     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      1.10     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      1.10     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      1.10     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      1.10     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      1.10     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      1.10     0.00        1     0.00     0.00  FLResources::load_level(int)
  0.00      1.10     0.00        1     0.00     0.00  FLResources::init_images()
  0.00      1.10     0.00        1     0.00     0.00  FLResources::load_images(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >)
  0.00      1.10     0.00        1     0.00     0.00  FLResources::init_physics()
  0.00      1.10     0.00        1     0.00     0.00  FLResources::init()
  0.00      1.10     0.00        1     0.00     0.00  FLResources::close()
  0.00      1.10     0.00        1     0.00     0.00  FLResources::init_il()
  0.00      1.10     0.00        1     0.00     0.00  FLResources::FLResources()
  0.00      1.10     0.00        1     0.00     0.00  FLUIManager::init()
  0.00      1.10     0.00        1     0.00     0.00  FLUIManager::FLUIManager()
  0.00      1.10     0.00        1     0.00     0.00  FLGameObject::set_x(float)
  0.00      1.10     0.00        1     0.00     0.00  FLGameObject::set_y(float)
  0.00      1.10     0.00        1     0.00     0.00  FLGameObject::FLGameObject()
  0.00      1.10     0.00        1     0.00     0.00  FLInputHandler::init()
  0.00      1.10     0.00        1     0.00     0.00  FLInputHandler::FLInputHandler()
  0.00      1.10     0.00        1     0.00     0.00  FLWorldSurface::clear()
  0.00      1.10     0.00        1     0.00     0.00  FLWorldSurface::FLWorldSurface()
  0.00      1.10     0.00        1     0.00     0.00  FLPhysicsObject::stop_horizontal()
  0.00      1.10     0.00        1     0.00     0.00  FLPhysicsObject::FLPhysicsObject(float, float, float, float)
  0.00      1.10     0.00        1     0.00     0.00  FLPhysicsObject::FLPhysicsObject()
  0.00      1.10     0.00        1     0.00     0.00  FLAnimatedObject::set_start_repeat(unsigned int, unsigned int)
  0.00      1.10     0.00        1     0.00     0.00  FLColoredSurface::set_shader(FLColoredPolyShader*)
  0.00      1.10     0.00        1     0.00     0.00  FLColoredSurface::FLColoredSurface()
  0.00      1.10     0.00        1     0.00     0.00  FLColoredSurface::~FLColoredSurface()
  0.00      1.10     0.00        1     0.00     0.00  FLColoredSurface::~FLColoredSurface()
  0.00      1.10     0.00        1     0.00     0.00  FLTexturedSurface::~FLTexturedSurface()
  0.00      1.10     0.00        1     0.00     0.00  FLTexturedSurface::~FLTexturedSurface()
  0.00      1.10     0.00        1     0.00     0.00  FLWorldEnvironment::set_player(FLPlayer*)
  0.00      1.10     0.00        1     0.00     0.00  FLWorldEnvironment::set_tilemap(FLTilemap*)
  0.00      1.10     0.00        1     0.00     0.00  FLWorldEnvironment::reset_tilemap()
  0.00      1.10     0.00        1     0.00     0.00  FLWorldEnvironment::load_next_level()
  0.00      1.10     0.00        1     0.00     0.00  FLWorldEnvironment::reset_environment()
  0.00      1.10     0.00        1     0.00     0.00  FLWorldEnvironment::player()
  0.00      1.10     0.00        1     0.00     0.00  FLWorldEnvironment::FLWorldEnvironment()
  0.00      1.10     0.00        1     0.00     0.00  FLColoredPolyShader::create_program(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >)
  0.00      1.10     0.00        1     0.00     0.00  FLColoredPolyShader::FLColoredPolyShader()
  0.00      1.10     0.00        1     0.00     0.00  FLColoredPolyShader::~FLColoredPolyShader()
  0.00      1.10     0.00        1     0.00     0.01  FLDistortionSurface::init_particle_field()
  0.00      1.10     0.00        1     0.00     0.00  FLDistortionSurface::clear_particle_field()
  0.00      1.10     0.00        1     0.00     0.01  FLDistortionSurface::FLDistortionSurface()
  0.00      1.10     0.00        1     0.00     0.00  FLFramebufferShader::set_radius(float)
  0.00      1.10     0.00        1     0.00     0.00  FLFramebufferShader::create_program(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >)
  0.00      1.10     0.00        1     0.00     0.00  FLFramebufferShader::FLFramebufferShader()
  0.00      1.10     0.00        1     0.00     0.00  FLFramebufferShader::~FLFramebufferShader()
  0.00      1.10     0.00        1     0.00     0.00  FLSmokeBackgroundShader::create_program(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >)
  0.00      1.10     0.00        1     0.00     0.00  FLSmokeBackgroundShader::FLSmokeBackgroundShader()
  0.00      1.10     0.00        1     0.00     0.00  FLSmokeBackgroundShader::~FLSmokeBackgroundShader()
  0.00      1.10     0.00        1     0.00     0.00  glm::mat<4, 4, float, (glm::qualifier)0> glm::orthoRH_NO<float>(float, float, float, float, float, float)
  0.00      1.10     0.00        1     0.00     0.00  glm::mat<4, 4, float, (glm::qualifier)0> glm::ortho<float>(float, float, float, float, float, float)
  0.00      1.10     0.00        1     0.00     0.00  FLPlayer::release_run()
  0.00      1.10     0.00        1     0.00     0.00  FLPlayer::bind_actions()
  0.00      1.10     0.00        1     0.00     0.00  FLPlayer::set_reset_position(float, float)
  0.00      1.10     0.00        1     0.00     0.00  FLPlayer::FLPlayer()
  0.00      1.10     0.00        1     0.00     0.00  Renderer::clear_world()
  0.00      1.10     0.00        1     0.00     0.00  Renderer::init_window()
  0.00      1.10     0.00        1     0.00     0.00  Renderer::init_shaders()
  0.00      1.10     0.00        1     0.00     0.00  Renderer::get_tilemap_surface()
  0.00      1.10     0.00        1     0.00     0.00  Renderer::init_surface_textures()
  0.00      1.10     0.00        1     0.00     0.00  Renderer::get_colored_poly_shader()
  0.00      1.10     0.00        1     0.00     0.00  Renderer::get_textured_rect_shader()
  0.00      1.10     0.00        1     0.00     0.01  Renderer::init()
  0.00      1.10     0.00        1     0.00     0.00  Renderer::clear()
  0.00      1.10     0.00        1     0.00     0.00  Renderer::close()
  0.00      1.10     0.00        1     0.00     0.00  Renderer::init_gl()
  0.00      1.10     0.00        1     0.00     0.00  Renderer::init_sdl()
  0.00      1.10     0.00        1     0.00     0.00  Renderer::Renderer()
  0.00      1.10     0.00        1     0.00     0.00  FLPhysics::FLPhysics()
  0.00      1.10     0.00        1     0.00     0.00  FLTilemap::update_surface()
  0.00      1.10     0.00        1     0.00     0.00  FLTilemap::reset(unsigned int, unsigned int)
  0.00      1.10     0.00        1     0.00     0.00  FLTilemap::FLTilemap(unsigned int, unsigned int, unsigned int)
  0.00      1.10     0.00        1     0.00     0.00  FLTilemap::~FLTilemap()
  0.00      1.10     0.00        1     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > __gnu_cxx::__to_xstring<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, char>(int (*)(char*, unsigned long, char const*, __va_list_tag*), unsigned long, char const*, ...)
  0.00      1.10     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<fl_colored_vertex>::new_allocator()
  0.00      1.10     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<fl_colored_vertex>::~new_allocator()
  0.00      1.10     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<std::__detail::_Hash_node<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, texture*>, true> >::new_allocator()
  0.00      1.10     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<std::__detail::_Hash_node<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, texture*>, true> >::~new_allocator()
  0.00      1.10     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<std::__detail::_Hash_node<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, float*>, true> >::new_allocator(__gnu_cxx::new_allocator<std::__detail::_Hash_node<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, float*>, true> > const&)
  0.00      1.10     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<std::__detail::_Hash_node<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, float*>, true> >::new_allocator()
  0.00      1.10     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<FLUIElement*>::new_allocator()
  0.00      1.10     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<FLUIElement*>::~new_allocator()
  0.00      1.10     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<FLToggleTile*>::new_allocator()
  0.00      1.10     0.00        1     0.00     0.00  void __gnu_cxx::new_allocator<FLWorldObject*>::construct<FLWorldObject*, FLWorldObject*>(FLWorldObject**, FLWorldObject*&&)
  0.00      1.10     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<FLWorldObject*>::new_allocator()
  0.00      1.10     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<FLWorldObject*>::~new_allocator()
  0.00      1.10     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<FLAnimatedObject*>::new_allocator()
  0.00      1.10     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<FLAnimatedObject*>::~new_allocator()
  0.00      1.10     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<FLTexturedObject*>::~new_allocator()
  0.00      1.10     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<FLInteractableObject*>::new_allocator()
  0.00      1.10     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<FLInteractableObject*>::~new_allocator()
  0.00      1.10     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<NVAngel*>::new_allocator()
  0.00      1.10     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<NVAngel*>::~new_allocator()
  0.00      1.10     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<FLKey const, FLKeyState> > >::new_allocator()
  0.00      1.10     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<FLKey const, FLKeyState> > >::~new_allocator()
  0.00      1.10     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<unsigned int const, FLKey> > >::new_allocator()
  0.00      1.10     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<unsigned int const, FLKey> > >::~new_allocator()
  0.00      1.10     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, float*> >::new_allocator()
  0.00      1.10     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, float*> >::~new_allocator()
  0.00      1.10     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<std::vector<int, std::allocator<int> > >::new_allocator()
  0.00      1.10     0.00        1     0.00     0.00  __gnu_cxx::__normal_iterator<FLWorldObject**, std::vector<FLWorldObject*, std::allocator<FLWorldObject*> > >::operator++()
  0.00      1.10     0.00        1     0.00     0.00  bool __gnu_cxx::operator==<FLUIElement* const*, std::vector<FLUIElement*, std::allocator<FLUIElement*> > >(__gnu_cxx::__normal_iterator<FLUIElement* const*, std::vector<FLUIElement*, std::allocator<FLUIElement*> > > const&, __gnu_cxx::__normal_iterator<FLUIElement* const*, std::vector<FLUIElement*, std::allocator<FLUIElement*> > > const&)
  0.00      1.10     0.00        1     0.00     0.00  __gnu_cxx::__normal_iterator<FLWorldObject**, std::vector<FLWorldObject*, std::allocator<FLWorldObject*> > >::operator*() const
  0.00      1.10     0.00        1     0.00     0.00  std::_Hashtable<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, float*>, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, float*> >, std::__detail::_Select1st, std::equal_to<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::hash<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<true, false, true> >::_M_uses_single_bucket(std::__detail::_Hash_node_base**) const
  0.00      1.10     0.00        1     0.00     0.00  std::_Hashtable<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, float*>, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, float*> >, std::__detail::_Select1st, std::equal_to<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::hash<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<true, false, true> >::_M_begin() const
  0.00      1.10     0.00        1     0.00     0.00  std::initializer_list<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, float*> >::end() const
  0.00      1.10     0.00        1     0.00     0.00  std::initializer_list<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, float*> >::size() const
  0.00      1.10     0.00        1     0.00     0.00  std::fpos<__mbstate_t>::operator long() const
  0.00      1.10     0.00        1     0.00     0.00  std::vector<FLUIElement*, std::allocator<FLUIElement*> >::end() const
  0.00      1.10     0.00        1     0.00     0.00  std::vector<FLUIElement*, std::allocator<FLUIElement*> >::begin() const
  0.00      1.10     0.00        1     0.00     0.00  std::vector<FLUIElement*, std::allocator<FLUIElement*> >::empty() const
  0.00      1.10     0.00        1     0.00     0.00  std::_Rb_tree<unsigned int, std::pair<unsigned int const, FLKey>, std::_Select1st<std::pair<unsigned int const, FLKey> >, std::less<unsigned int>, std::allocator<std::pair<unsigned int const, FLKey> > >::size() const
  0.00      1.10     0.00        1     0.00     0.00  std::__detail::_Prime_rehash_policy::_M_bkt_for_elements(unsigned long) const
  0.00      1.10     0.00        1     0.00     0.00  std::allocator<fl_colored_vertex>::allocator()
  0.00      1.10     0.00        1     0.00     0.00  std::allocator<fl_colored_vertex>::~allocator()
  0.00      1.10     0.00        1     0.00     0.00  std::allocator<std::__detail::_Hash_node<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, texture*>, true> >::allocator()
  0.00      1.10     0.00        1     0.00     0.00  std::allocator<std::__detail::_Hash_node<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, texture*>, true> >::~allocator()
  0.00      1.10     0.00        1     0.00     0.00  std::allocator<std::__detail::_Hash_node<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, float*>, true> >::allocator(std::allocator<std::__detail::_Hash_node<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, float*>, true> > const&)
  0.00      1.10     0.00        1     0.00     0.00  std::allocator<std::__detail::_Hash_node<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, float*>, true> >::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, float*> >(std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, float*> > const&)
  0.00      1.10     0.00        1     0.00     0.00  std::allocator<FLUIElement*>::allocator()
  0.00      1.10     0.00        1     0.00     0.00  std::allocator<FLUIElement*>::~allocator()
  0.00      1.10     0.00        1     0.00     0.00  std::allocator<FLToggleTile*>::allocator()
  0.00      1.10     0.00        1     0.00     0.00  std::allocator<FLWorldObject*>::allocator()
  0.00      1.10     0.00        1     0.00     0.00  std::allocator<FLWorldObject*>::~allocator()
  0.00      1.10     0.00        1     0.00     0.00  std::allocator<FLAnimatedObject*>::allocator()
  0.00      1.10     0.00        1     0.00     0.00  std::allocator<FLAnimatedObject*>::~allocator()
  0.00      1.10     0.00        1     0.00     0.00  std::allocator<FLTexturedObject*>::~allocator()
  0.00      1.10     0.00        1     0.00     0.00  std::allocator<FLInteractableObject*>::allocator()
  0.00      1.10     0.00        1     0.00     0.00  std::allocator<FLInteractableObject*>::~allocator()
  0.00      1.10     0.00        1     0.00     0.00  std::allocator<NVAngel*>::allocator()
  0.00      1.10     0.00        1     0.00     0.00  std::allocator<NVAngel*>::~allocator()
  0.00      1.10     0.00        1     0.00     0.00  std::allocator<std::_Rb_tree_node<std::pair<FLKey const, FLKeyState> > >::allocator()
  0.00      1.10     0.00        1     0.00     0.00  std::allocator<std::_Rb_tree_node<std::pair<FLKey const, FLKeyState> > >::~allocator()
  0.00      1.10     0.00        1     0.00     0.00  std::allocator<std::_Rb_tree_node<std::pair<unsigned int const, FLKey> > >::allocator()
  0.00      1.10     0.00        1     0.00     0.00  std::allocator<std::_Rb_tree_node<std::pair<unsigned int const, FLKey> > >::~allocator()
  0.00      1.10     0.00        1     0.00     0.00  std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, float*> >::allocator()
  0.00      1.10     0.00        1     0.00     0.00  std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, float*> >::~allocator()
  0.00      1.10     0.00        1     0.00     0.00  std::allocator<std::vector<int, std::allocator<int> > >::allocator()
